,answer,image_filename,image_id,image_index,image_url,qa_id,question,question_error,question_error_closest_match,question_error_correction,question_error_correction_answer,question_error_new_question,question_is_premise_true
0,On the train.,2376920.jpg,28,27,https://cs.stanford.edu/people/rak248/VG_100K/28.jpg,1976126,How will people travel?,,,,,,
1,Behind the cab.,2410657.jpg,28,27,https://cs.stanford.edu/people/rak248/VG_100K/28.jpg,1111488,Where is the truck bed?,,,,,,
2,On the road.,2377072.jpg,28,27,https://cs.stanford.edu/people/rak248/VG_100K/28.jpg,1978867,Where is the truck?,,,,,,
0,Gray.,2414678.jpg,2415109,5031,https://cs.stanford.edu/people/rak248/VG_100K_2/2415109.jpg,1028879,What color is the railing?,,,,,,
1,Yummy.,2364683.jpg,2415109,5031,https://cs.stanford.edu/people/rak248/VG_100K_2/2415109.jpg,1726711,How the image looks like?,,,,,,
2,Food.,2371626.jpg,2415109,5031,https://cs.stanford.edu/people/rak248/VG_100K_2/2415109.jpg,1867515,What is on the plate?,,,,,,
3,A blanket.,2369731.jpg,2415147,5069,https://cs.stanford.edu/people/rak248/VG_100K_2/2415147.jpg,1829147,What does the man cover himself with?,,,,,,
4,A tree.,2410069.jpg,2415147,5069,https://cs.stanford.edu/people/rak248/VG_100K_2/2415147.jpg,1095950,What is next to the sidewalk?,,,,,,
5,Green stems.,2403025.jpg,2415147,5069,https://cs.stanford.edu/people/rak248/VG_100K_2/2415147.jpg,792999,What is in the vase besides flowers?,,,,,,
6,Cheese.,2403795.jpg,2415165,5086,https://cs.stanford.edu/people/rak248/VG_100K_2/2415165.jpg,1290383,What is melted on the bun?,,,,,,
7,"Trees, a boat and a cabin.",2408081.jpg,2415165,5086,https://cs.stanford.edu/people/rak248/VG_100K_2/2415165.jpg,1052045,What is the focus of this picture?,,,,,,
8,Daytime.,2412307.jpg,2415165,5086,https://cs.stanford.edu/people/rak248/VG_100K_2/2415165.jpg,157929,When is this picture taken?,,,,,,
9,The woman.,2417251.jpg,2415168,5089,https://cs.stanford.edu/people/rak248/VG_100K_2/2415168.jpg,949157,Who is on the bed?,,,,,,
10,A trash can.,2328271.jpg,2415168,5089,https://cs.stanford.edu/people/rak248/VG_100K_2/2415168.jpg,724804,Where is the stuffed animal?,,,,,,
11,Orange.,2352869.jpg,2415168,5089,https://cs.stanford.edu/people/rak248/VG_100K_2/2415168.jpg,641162,What color is the woman's shirt?,,,,,,
12,Pets.,2363091.jpg,61558,5156,https://cs.stanford.edu/people/rak248/VG_100K/61558.jpg,1694386,What is the opening in the wall for?,,,,,,
13,Plate.,2372089.jpg,61558,5156,https://cs.stanford.edu/people/rak248/VG_100K/61558.jpg,1877125,What is the bread on?,,,,,,
14,Snow.,2410814.jpg,61558,5156,https://cs.stanford.edu/people/rak248/VG_100K/61558.jpg,169878,What is on the ground?,,,,,,
