,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,answer,image_filename,image_id,image_index,image_url,qa_id,question,question_error,question_error_closest_match,question_error_correction,question_error_correction_answer,question_error_new_question,question_is_premise_true
0,0,0,0,0,0,On the train.,2376920.jpg,28,27,https://cs.stanford.edu/people/rak248/VG_100K/28.jpg,1976126,How will people travel?,travel,,sit,chairs,How will people sit,False
1,1,1,1,1,1,Behind the cab.,2410657.jpg,28,27,https://cs.stanford.edu/people/rak248/VG_100K/28.jpg,1111488,Where is the truck bed?,truck bed,,big painting,the wall,Where is the big painting,False
2,2,2,2,2,2,On the road.,2377072.jpg,28,27,https://cs.stanford.edu/people/rak248/VG_100K/28.jpg,1978867,Where is the truck?,truck,,couch,floor,Where is the couch,False
3,3,3,0,0,0,Gray.,2414678.jpg,2415109,5031,https://cs.stanford.edu/people/rak248/VG_100K_2/2415109.jpg,1028879,What color is the railing?,railing,,counter,white,What color is the counter,False
4,4,4,1,1,1,Yummy.,2364683.jpg,2415109,5031,https://cs.stanford.edu/people/rak248/VG_100K_2/2415109.jpg,1726711,How the image looks like?,image,,wall |,white,How the wall looks like,False
5,5,5,2,2,2,Food.,2371626.jpg,2415109,5031,https://cs.stanford.edu/people/rak248/VG_100K_2/2415109.jpg,1867515,What is on the plate?,,,,,,
6,6,6,3,3,3,A blanket.,2369731.jpg,2415147,5069,https://cs.stanford.edu/people/rak248/VG_100K_2/2415147.jpg,1829147,What does the man cover himself with?,,,,,,
7,7,7,4,4,4,A tree.,2410069.jpg,2415147,5069,https://cs.stanford.edu/people/rak248/VG_100K_2/2415147.jpg,1095950,What is next to the sidewalk?,,,,,,
8,8,8,5,5,5,Green stems.,2403025.jpg,2415147,5069,https://cs.stanford.edu/people/rak248/VG_100K_2/2415147.jpg,792999,What is in the vase besides flowers?,,,,,,
9,9,9,6,6,6,Cheese.,2403795.jpg,2415165,5086,https://cs.stanford.edu/people/rak248/VG_100K_2/2415165.jpg,1290383,What is melted on the bun?,,,,,,
10,10,10,7,7,7,"Trees, a boat and a cabin.",2408081.jpg,2415165,5086,https://cs.stanford.edu/people/rak248/VG_100K_2/2415165.jpg,1052045,What is the focus of this picture?,,,,,,
11,11,11,8,8,8,Daytime.,2412307.jpg,2415165,5086,https://cs.stanford.edu/people/rak248/VG_100K_2/2415165.jpg,157929,When is this picture taken?,,,,,,
12,12,12,9,9,9,The woman.,2417251.jpg,2415168,5089,https://cs.stanford.edu/people/rak248/VG_100K_2/2415168.jpg,949157,Who is on the bed?,,,,,,
13,13,13,10,10,10,A trash can.,2328271.jpg,2415168,5089,https://cs.stanford.edu/people/rak248/VG_100K_2/2415168.jpg,724804,Where is the stuffed animal?,,,,,,
14,14,14,11,11,11,Orange.,2352869.jpg,2415168,5089,https://cs.stanford.edu/people/rak248/VG_100K_2/2415168.jpg,641162,What color is the woman's shirt?,,,,,,
15,15,15,12,12,12,Pets.,2363091.jpg,61558,5156,https://cs.stanford.edu/people/rak248/VG_100K/61558.jpg,1694386,What is the opening in the wall for?,,,,,,
16,16,16,13,13,13,Plate.,2372089.jpg,61558,5156,https://cs.stanford.edu/people/rak248/VG_100K/61558.jpg,1877125,What is the bread on?,,,,,,
17,17,17,14,14,14,Snow.,2410814.jpg,61558,5156,https://cs.stanford.edu/people/rak248/VG_100K/61558.jpg,169878,What is on the ground?,,,,,,
18,18,18,15,15,15,A tall tree that is still green.,2396870.jpg,107924,5234,https://cs.stanford.edu/people/rak248/VG_100K/107924.jpg,1391571,What is in the background?,,,,,,
19,19,19,16,16,16,During an air show.,2350408.jpg,107924,5234,https://cs.stanford.edu/people/rak248/VG_100K/107924.jpg,643137,When was the photo taken?,,,,,,
20,20,20,17,17,17,Over the girl's shoulder.,2388106.jpg,107924,5234,https://cs.stanford.edu/people/rak248/VG_100K/107924.jpg,1412088,Where is the boy looking?,,,,,,
21,21,21,18,18,18,The fire hydrant.,2374355.jpg,107993,5303,https://cs.stanford.edu/people/rak248/VG_100K/107993.jpg,1924338,What is red in color?,,,,,,
22,22,22,19,19,19,In a gym.,2377095.jpg,107993,5303,https://cs.stanford.edu/people/rak248/VG_100K/107993.jpg,1979327,Where are the two men?,,,,,,
23,23,23,20,20,20,Two.,2373472.jpg,107993,5303,https://cs.stanford.edu/people/rak248/VG_100K/107993.jpg,560777,How many kinds of animals can you see?,,,,,,
24,24,24,21,21,21,In the car.,2331523.jpg,150349,5401,https://cs.stanford.edu/people/rak248/VG_100K/150349.jpg,274200,Where was this picture taken?,,,,,,
25,25,25,22,22,22,Giraffes.,2373615.jpg,150349,5401,https://cs.stanford.edu/people/rak248/VG_100K/150349.jpg,1909616,What has long necks?,,,,,,
26,26,26,23,23,23,It is a photo credit.,2371874.jpg,150349,5401,https://cs.stanford.edu/people/rak248/VG_100K/150349.jpg,1872841,Why is there blue lettering?,,,,,,
27,27,27,24,24,24,Hair.,2404364.jpg,150467,5518,https://cs.stanford.edu/people/rak248/VG_100K/150467.jpg,1302768,What is on the man's hand?,,,,,,
28,28,28,25,25,25,Crackers.,2402354.jpg,150467,5518,https://cs.stanford.edu/people/rak248/VG_100K/150467.jpg,1260765,What are this plastic rolls closest to the edge of the counter?,,,,,,
29,29,29,26,26,26,Kitchen.,2386906.jpg,150467,5518,https://cs.stanford.edu/people/rak248/VG_100K/150467.jpg,741898,Where is this picture taken?,,,,,,
30,30,30,27,27,27,The giraffe is outside.,2344075.jpg,150476,5527,https://cs.stanford.edu/people/rak248/VG_100K/150476.jpg,520318,Where is the giraffe located?,,,,,,
31,31,31,28,28,28,On the street.,2366939.jpg,150476,5527,https://cs.stanford.edu/people/rak248/VG_100K/150476.jpg,1771556,Where is the car?,,,,,,
32,32,32,29,29,29,Woman in pink.,2404153.jpg,150476,5527,https://cs.stanford.edu/people/rak248/VG_100K/150476.jpg,1297641,Who has a black bob?,,,,,,
33,33,33,30,30,30,At the camera.,2400415.jpg,286007,6013,https://cs.stanford.edu/people/rak248/VG_100K/286007.jpg,1221284,Where is the elephant looking?,,,,,,
34,34,34,31,31,31,Eight.,2360269.jpg,286007,6013,https://cs.stanford.edu/people/rak248/VG_100K/286007.jpg,635237,How many people are in the picture?,,,,,,
35,35,35,32,32,32,Two.,2415851.jpg,286007,6013,https://cs.stanford.edu/people/rak248/VG_100K/286007.jpg,937961,How many light switches are shown?,,,,,,
36,36,36,33,33,33,Green.,2408643.jpg,286036,6042,https://cs.stanford.edu/people/rak248/VG_100K/286036.jpg,1064432,What color are signs?,,,,,,
37,37,37,34,34,34,Red.,2404671.jpg,286036,6042,https://cs.stanford.edu/people/rak248/VG_100K/286036.jpg,1310269,What lights are lit up on the traffic lights?,,,,,,
38,38,38,35,35,35,Clear.,2411255.jpg,286036,6042,https://cs.stanford.edu/people/rak248/VG_100K/286036.jpg,1325811,What type of weather is shown?,,,,,,
39,39,39,36,36,36,Potatoes.,2360874.jpg,498262,6458,https://cs.stanford.edu/people/rak248/VG_100K/498262.jpg,1650808,What is below bananas?,,,,,,
40,40,40,37,37,37,Towel rack.,2407489.jpg,498262,6458,https://cs.stanford.edu/people/rak248/VG_100K/498262.jpg,1207895,What is silver?,,,,,,
41,41,41,38,38,38,On the bike.,2372882.jpg,498262,6458,https://cs.stanford.edu/people/rak248/VG_100K/498262.jpg,1894548,Where is the tire?,,,,,,
42,42,42,39,39,39,A kitchen.,2406125.jpg,2415056,10109,https://cs.stanford.edu/people/rak248/VG_100K_2/2415056.jpg,1176320,What room is this?,,,,,,
43,43,43,40,40,40,A white uniform.,2370887.jpg,2415056,10109,https://cs.stanford.edu/people/rak248/VG_100K_2/2415056.jpg,1851983,What is the player wearing?,,,,,,
44,44,44,41,41,41,River.,2363907.jpg,2415056,10109,https://cs.stanford.edu/people/rak248/VG_100K_2/2415056.jpg,1711034,What is flowing by the rocks?,,,,,,
45,45,45,42,42,42,White.,2417917.jpg,2415038,10112,https://cs.stanford.edu/people/rak248/VG_100K_2/2415038.jpg,954484,What color is the toilet?,,,,,,
46,46,46,43,43,43,A dog.,2375783.jpg,2415038,10112,https://cs.stanford.edu/people/rak248/VG_100K_2/2415038.jpg,1952858,What does the couple wearing blue shirts have with them?,,,,,,
47,47,47,44,44,44,Black.,2406999.jpg,2415038,10112,https://cs.stanford.edu/people/rak248/VG_100K_2/2415038.jpg,1197145,What color is the dog's vest?,,,,,,
48,48,48,45,45,45,In Grass.,2408116.jpg,2414625,10206,https://cs.stanford.edu/people/rak248/VG_100K_2/2414625.jpg,191461,Where are the elephants standing?,,,,,,
49,49,49,46,46,46,Green.,150432.jpg,2414625,10206,https://cs.stanford.edu/people/rak248/VG_100K_2/2414625.jpg,1003884,What color is the traffic light?,,,,,,
50,50,50,47,47,47,Nothing.,2412614.jpg,2414625,10206,https://cs.stanford.edu/people/rak248/VG_100K_2/2414625.jpg,1128790,What is on the woman's feet?,,,,,,
51,51,51,48,48,48,Flames.,2410567.jpg,2414618,10211,https://cs.stanford.edu/people/rak248/VG_100K_2/2414618.jpg,1105408,What symbols are on the plane?,,,,,,
52,52,52,49,49,49,Black.,2403425.jpg,2414618,10211,https://cs.stanford.edu/people/rak248/VG_100K_2/2414618.jpg,1282579,What is the main color of the number 0?,,,,,,
53,53,53,50,50,50,A man.,2387077.jpg,2414618,10211,https://cs.stanford.edu/people/rak248/VG_100K_2/2414618.jpg,421866,Who is in the picture?,,,,,,
54,54,54,51,51,51,Blue and black gloves.,2411663.jpg,2413771,10415,https://cs.stanford.edu/people/rak248/VG_100K_2/2413771.jpg,1334414,What is on the skier's hands?,,,,,,
55,55,55,52,52,52,Daytime.,2377328.jpg,2413771,10415,https://cs.stanford.edu/people/rak248/VG_100K_2/2413771.jpg,621600,When was the picture taken?,,,,,,
56,56,56,53,53,53,Zero.,2361341.jpg,2413771,10415,https://cs.stanford.edu/people/rak248/VG_100K_2/2413771.jpg,1660009,What is the number of zebras pictured?,,,,,,
57,57,57,54,54,54,A paper plate.,2375626.jpg,2413729,10416,https://cs.stanford.edu/people/rak248/VG_100K_2/2413729.jpg,1949622,What type of plate is it?,,,,,,
58,58,58,55,55,55,Sidewalk.,2361465.jpg,2413729,10416,https://cs.stanford.edu/people/rak248/VG_100K_2/2413729.jpg,1662429,What are the bags sitting on?,,,,,,
59,59,59,56,56,56,In the vase.,2405282.jpg,2413729,10416,https://cs.stanford.edu/people/rak248/VG_100K_2/2413729.jpg,1156980,Where are the purple flowers?,,,,,,
60,60,60,57,57,57,On a wooden table.,2358820.jpg,2413318,10511,https://cs.stanford.edu/people/rak248/VG_100K_2/2413318.jpg,1609200,Where is the white ceramic plate?,,,,,,
61,61,61,58,58,58,A skull and two vases.,2362441.jpg,2413318,10511,https://cs.stanford.edu/people/rak248/VG_100K_2/2413318.jpg,313688,What is on the table?,,,,,,
62,62,62,59,59,59,Five.,2329211.jpg,2413318,10511,https://cs.stanford.edu/people/rak248/VG_100K_2/2413318.jpg,724057,How many people are in this picture?,,,,,,
63,63,63,60,60,60,Closest to the camera.,2358997.jpg,2413195,10537,https://cs.stanford.edu/people/rak248/VG_100K_2/2413195.jpg,1612983,Where is the black dog in relation to the others?,,,,,,
64,64,64,61,61,61,In front of the woman.,2368566.jpg,2413195,10537,https://cs.stanford.edu/people/rak248/VG_100K_2/2413195.jpg,1805427,Where is the man?,,,,,,
65,65,65,62,62,62,Day time.,2380251.jpg,2413195,10537,https://cs.stanford.edu/people/rak248/VG_100K_2/2413195.jpg,683241,When was this picture?,,,,,,
66,66,66,63,63,63,On the lamp.,2394262.jpg,2412706,10635,https://cs.stanford.edu/people/rak248/VG_100K_2/2412706.jpg,1442312,Where are the roses?,,,,,,
67,67,67,64,64,64,Brown.,2398268.jpg,2412706,10635,https://cs.stanford.edu/people/rak248/VG_100K_2/2412706.jpg,604852,What is the color of the court surface?,,,,,,
