image,label,question,word,wordLabels
2351728.jpg,1,how does the zebra eats,zebra,1 1 1 0 1
2402888.jpg,2,what type of ground is the horse walking on,,1 1 1 1 1 1 1 1 1
2385278.jpg,2,what color is the far wall,,1 1 1 1 1 1
2344472.jpg,1,where is the chocolate drizzle,chocolate,1 1 1 0 1
2410127.jpg,1,what is the boat doing,boat,1 1 1 0 1
2341671.jpg,1,where is the big zebra,zebra,1 1 1 1 0
2416200.jpg,1,where is a coffee cup,cup,1 1 1 1 0
2316898.jpg,2,what color is the grass,,1 1 1 1 1
2330744.jpg,1,what surrounds the water,water,1 1 1 0
2324408.jpg,1,what color is the seagull,seagull,1 1 1 1 0
2342386.jpg,1,what color sign is posted,sign,1 1 0 1 1
2396241.jpg,1,where is the seagull at,seagull,1 1 1 0 1
2373606.jpg,2,what is the food sitting on,,1 1 1 1 1 1
2414378.jpg,2,what are the people doing,,1 1 1 1 1
2365061.jpg,2,what shade is the plane on the right,,1 1 1 1 1 1 1 1
2346541.jpg,1,what color is the frisbee,frisbee,1 1 1 1 0
2351231.jpg,1,what is the lady on,lady,1 1 1 0 1
2369872.jpg,2,what are the two oval objects on the front of the train,,1 1 1 1 1 1 1 1 1 1 1 1
2368885.jpg,2,where is danforth ave sign on the bottom picture,,1 1 1 1 1 1 1 1 1
2336111.jpg,1,what is red on the street,street,1 1 1 1 1 0
2329899.jpg,1,where are the strawberries,strawberries,1 1 1 0
2370867.jpg,2,what is in the floor,,1 1 1 1 1
2415022.jpg,1,where is the camera,camera,1 1 1 0
2413148.jpg,2,what is the boy eating,,1 1 1 1 1
2385833.jpg,1,what color is the man in the foreground's shorts,shorts,1 1 1 1 1 1 1 1 0
2381904.jpg,1,where is sandwich,sandwich,1 1 0
2370880.jpg,2,what is growing along the road,,1 1 1 1 1 1
2372666.jpg,2,what is surrounded by small trees,,1 1 1 1 1 1
2384378.jpg,1,what shade of color is the table,table,1 1 1 1 1 1 0
2340578.jpg,1,what color is the wall,wall,1 1 1 1 0
2403236.jpg,2,what are the people doing,,1 1 1 1 1
2404538.jpg,2,what type of sign is on the pole,,1 1 1 1 1 1 1 1
2403127.jpg,1,what is the color of the man's shirt,shirt,1 1 1 1 1 1 1 0
2340891.jpg,2,what color is the sign,,1 1 1 1 1
2377473.jpg,2,what is on the runway,,1 1 1 1 1
2406980.jpg,2,what is the dark-haired man doing,,1 1 1 1 1 1
2333360.jpg,1,what is the cat wearing,cat,1 1 1 0 1
2336646.jpg,1,what color is the us bank sign,bank,1 1 1 1 1 0 1
2409460.jpg,2,what color is the plate,,1 1 1 1 1
2329661.jpg,1,what color are the blinds,blinds,1 1 1 1 0
2402487.jpg,1,what is next to the train,train,1 1 1 1 1 0
2401666.jpg,2,what symbol is on the top corner of the sign,,1 1 1 1 1 1 1 1 1 1
2349291.jpg,1,what color is the red garden sign,sign,1 1 1 1 1 1 0
2387667.jpg,2,what is strapped to the man,,1 1 1 1 1 1
2328178.jpg,1,how is the boy's hair,hair,1 1 1 1 0
2329914.jpg,1,what is near the front edge of the tray,tray,1 1 1 1 1 1 1 1 0
2375180.jpg,1,what color is the paper,paper,1 1 1 1 0
2389420.jpg,2,where is the man,,1 1 1 1
2411916.jpg,1,where is the dog with the most white fur,dog,1 1 1 0 1 1 1 1 1
2368091.jpg,2,what is on the towel,,1 1 1 1 1
2407935.jpg,2,what is between the grass and water,,1 1 1 1 1 1 1
2396435.jpg,1,what is the pizza sitting directly on,pizza,1 1 1 0 1 1 1
2388660.jpg,1,how old does the book appear to be,book,1 1 1 1 0 1 1 1
2377528.jpg,2,what color are the vegetables,,1 1 1 1 1
2358193.jpg,1,what color is the batter's shirt,shirt,1 1 1 1 1 0
285660.jpg,1,what color is the lettering on the stop sign,sign,1 1 1 1 1 1 1 1 0
2409354.jpg,2,what way is the traffic light blowing,,1 1 1 1 1 1 1
2384781.jpg,1,what color are the girl's shorts,shorts,1 1 1 1 1 0
2414687.jpg,1,where are the cars,cars,1 1 1 0
1159819.jpg,1,what color is the grass,grass,1 1 1 1 0
61534.jpg,2,what color are the man's jeans,,1 1 1 1 1 1
2407999.jpg,1,what is on the man's right hand,hand,1 1 1 1 1 1 0
2409754.jpg,2,where is the plant,,1 1 1 1
2394439.jpg,1,where is the tennis player's head facing,head,1 1 1 1 1 0 1
2372557.jpg,2,what is the boy playing,,1 1 1 1 1
2367861.jpg,2,where is the vase,,1 1 1 1
2377253.jpg,1,what is the bridge made of,bridge,1 1 1 0 1 1
2343962.jpg,1,what is the big elephant nose,elephant,1 1 1 1 0 1
2363684.jpg,1,where are the clouds,clouds,1 1 1 0
2374511.jpg,2,who is driving the truck,,1 1 1 1 1
2391272.jpg,2,what is the clock made of,,1 1 1 1 1 1
2359437.jpg,2,where is the cheese,,1 1 1 1
2350838.jpg,2,what is the woman playing,,1 1 1 1 1
2393036.jpg,2,what is behind the snow,,1 1 1 1 1
2366556.jpg,2,what is over the sink,,1 1 1 1 1
2372369.jpg,2,what is the wall made of,,1 1 1 1 1 1
2332202.jpg,2,where is the brown train car,,1 1 1 1 1 1
2361704.jpg,2,what color is the towel holder,,1 1 1 1 1 1
2376338.jpg,1,how many people are in the picture,picture,1 1 1 1 1 1 0
2352875.jpg,2,what is the child doing,,1 1 1 1 1
2377114.jpg,1,what color is the beak of the white bird,bird,1 1 1 1 1 1 1 1 0
1591921.jpg,1,how many women are in the photo,women,1 1 0 1 1 1 1
2417510.jpg,2,what color is the grass in this photo,,1 1 1 1 1 1 1 1
2411555.jpg,2,what hand is holding the racket,,1 1 1 1 1 1
2320381.jpg,1,what is the driver looking out,out,1 1 1 1 1 0
2399855.jpg,2,what is the woman holding,,1 1 1 1 1
2347513.jpg,1,what color is the person's hair,hair,1 1 1 1 1 0
2365394.jpg,2,what is painted on a road,,1 1 1 1 1 1
2316687.jpg,1,what color is the bike,bike,1 1 1 1 0
2410042.jpg,2,what color is the metal box behind the man,,1 1 1 1 1 1 1 1 1
2416524.jpg,1,how is air conditioner staying in window,window,1 1 1 1 1 1 0
1592158.jpg,1,what is the woman holding,woman,1 1 1 0 1
2359533.jpg,2,what kind of hairstyle is the man on the right wearing,,1 1 1 1 1 1 1 1 1 1 1
2331432.jpg,1,what is over the train,train,1 1 1 1 0
2393655.jpg,2,where is the napkin,,1 1 1 1
2369281.jpg,1,what is on the girl's nose,nose,1 1 1 1 1 0
2318230.jpg,1,why are there blankets on the bed,bed,1 1 1 1 1 1 0
61534.jpg,2,why is the man holding the man's face,,1 1 1 1 1 1 1 1
