image,label,question,word,wordLabels
2371837.jpg,1,how many skateboard wheels are there,skateboard,1 1 0 1 1 1
2320882.jpg,2,how many skateboard wheels are there,skateboard,1 1 1 1 1 1
2368164.jpg,1,what color is the sky,sky,1 1 1 1 0
2371478.jpg,2,what color is the sky,sky,1 1 1 1 1
2379437.jpg,1,how is the water,water,1 1 1 0
2371478.jpg,2,how is the water,water,1 1 1 1
2384874.jpg,1,what body of water is this,water,1 1 1 0 1 1
2371478.jpg,2,what body of water is this,water,1 1 1 1 1 1
2383319.jpg,1,what is in the sky,sky,1 1 1 1 0
2371478.jpg,2,what is in the sky,sky,1 1 1 1 1
2385851.jpg,1,what is white in the sky,sky,1 1 1 1 1 0
2371478.jpg,2,what is white in the sky,sky,1 1 1 1 1 1
2354311.jpg,1,what is the condition of the water,water,1 1 1 1 1 1 0
2371478.jpg,2,what is the condition of the water,water,1 1 1 1 1 1 1
2396402.jpg,1,where is the cliff located,cliff,1 1 1 0 1
2371478.jpg,2,where is the cliff located,cliff,1 1 1 1 1
2405232.jpg,1,what is next to the cliff,cliff,1 1 1 1 1 0
2371478.jpg,2,what is next to the cliff,cliff,1 1 1 1 1 1
2408414.jpg,1,what amount of kites are in the sky,kites,1 1 1 0 1 1 1 1
2371478.jpg,2,what amount of kites are in the sky,kites,1 1 1 1 1 1 1 1
2391166.jpg,1,where are the kites located,kites,1 1 1 0 1
2371478.jpg,2,where are the kites located,kites,1 1 1 1 1
2344023.jpg,1,what amount of kites are to the right,kites,1 1 1 0 1 1 1 1
2371478.jpg,2,what amount of kites are to the right,kites,1 1 1 1 1 1 1 1
2405686.jpg,1,where is the fire hydrant,hydrant,1 1 1 1 0
2323273.jpg,2,where is the fire hydrant,hydrant,1 1 1 1 1
2353667.jpg,1,what number is on the hydrant,hydrant,1 1 1 1 1 0
2323273.jpg,2,what number is on the hydrant,hydrant,1 1 1 1 1 1
2371999.jpg,1,what color is the drink in cup,cup,1 1 1 1 1 1 0
2323273.jpg,2,what color is the drink in cup,cup,1 1 1 1 1 1 1
2348661.jpg,1,where is the fence,fence,1 1 1 0
2323273.jpg,2,where is the fence,fence,1 1 1 1
2369432.jpg,1,who put the boats in the water,water,1 1 1 1 1 1 0
2408359.jpg,2,who put the boats in the water,water,1 1 1 1 1 1 1
2399233.jpg,1,what is in the water,water,1 1 1 1 0
2408359.jpg,2,what is in the water,water,1 1 1 1 1
2329406.jpg,1,what is anchoring the boat,boat,1 1 1 1 0
2408359.jpg,2,what is anchoring the boat,boat,1 1 1 1 1
2383183.jpg,1,what type of boat is this,boat,1 1 1 0 1 1
